state,district,zone,crop_system,mech_tier,irrigation_tier,residue_belt
Maharashtra,Hingoli,Marathwada,cotton_soybean,medium,low,0
Maharashtra,Buldhana,Vidarbha West,cotton_soybean,medium,low,0
Maharashtra,Akola,Vidarbha West,cotton_soybean,medium,low,0
Maharashtra,Washim,Vidarbha West,cotton_soybean,medium,low,0
Maharashtra,Amravati,Vidarbha West,cotton_soybean,medium,low,0
Maharashtra,Yavatmal,Vidarbha West,cotton_soybean,medium,low,0
Maharashtra,Wardha,Vidarbha East,cotton_soybean,medium,low,0
Maharashtra,Nagpur,Vidarbha East,cotton_orange,medium,medium,0
Maharashtra,Bhandara,Vidarbha East,rice_pulses,low,medium,0
Maharashtra,Gondia,Vidarbha East,rice_pulses,low,medium,0
Maharashtra,Chandrapur,Vidarbha East,rice_cotton,low,medium,0
Maharashtra,Gadchiroli,Vidarbha East,rice_pulses,low,low,0
Maharashtra,Thane,Konkan,rice_horticulture,low,medium,0
Maharashtra,Palghar,Konkan,rice_horticulture,low,medium,0
Maharashtra,Raigad,Konkan,rice_horticulture,low,medium,0
Maharashtra,Ratnagiri,Konkan,mango_rice,low,low,0
Maharashtra,Sindhudurg,Konkan,mango_cashew,low,low,0
Maharashtra,Mumbai City,Konkan,urban,low,low,0
Maharashtra,Mumbai Suburban,Konkan,urban,low,low,0
